subject,predicate,object
국도화학,화학소재기업,에폭시수지 기반의
매출의 97.9%,발생,에폭시수지를 통해서
국도화학의 매출의 97.9%,확인,2021년
국도화학이,차지하는,수출이 비중이
수출이 비중이,나타난다,46.8% (2019년 수준)
국도화학이,확대되고,수출 매출이
수출 매출이,확대되고,76.1% (2021년 수준)
국도화학,갖춤,세계 1위 수준의 에폭시수지 생산능력
국도화학,갖춤,2021년 82만톤의 에폭시수지 생산능력
국도화학이,설립하였다,2021년 4월과 2022년 1월에 독일과 미국에 신규법인을
국도화학이,확대하였다,글로벌 사업기반을
국도화학,강화하고 있다,에폭시수지 사업부문
국도화학,흡수합병하였다,국내의 에폭시수지 제조기업 국도정밀
에폭시수지,사용되는 소재이다,선박과 건축용 도료
에폭시수지,사용되는 소재이다,접착제 및 전기 전자용
에폭시수지,사용되는 소재이다,자동차 복합소재 등의 산업분야
에폭시수지,특징이 있다,경기변동에 비교적 안정적인 수요
전방산업의 수요가,회복되면서,"자동차, 조선, 건설 등의 수요"
수요도,증가하고 있다,글로벌 에폭시수지에 대한 수요
생산이,전망되고 있다,확대될 것으로
국도화학,지속하고 있다,신성장동력을 확보하기 위한 개발
국도화학,지속하고 있다,고부가가치 제품의 개발 및 생산
국도화학,지속하고 있다,연구개발활동
국도화학,공급하고 있다,덴마크의 베스타스에게 풍력 설비용 에폭시수지
국도화학,공급하고 있다,독일의 지멘스에게 풍력 설비용 에폭시수지
국도화학,공급하고 있다,미국의 헥셀에게 풍력 설비용 에폭시수지
국도화학,다양화하고 있다,전기자동차 부품용 제품
국도화학,다양화하고 있다,수소탱크용 제품
국도화학,다양화하고 있다,우주항공분야 제품
국도화학,집중하여 유지하고 있다,에폭시수지 개발 및 생산
국도화학,유지하고 있다,흑자 기조
국도화학,생산능력이 있다,2021년 기준 연간 82만톤
국도화학,세계 1위이다,에폭시수지 생산능력 수준
국도화학,흡수합병을 통해 강화하였다,2022년 7월 국도정밀의 에폭시 사업부문
국도화학,고부가가치 제품 개발을 통해,판매 확대
국도화학,개발 및 판매 확대를 통해,신성장동력 확보
국도화학,블레이드용 에폭시수지 매출 확대가 있음,글로벌 그린 뉴딜의 영향으로
국도화학,블레이드용 에폭시수지 매출 확대가 있음,친환경 정책 추진의 영향으로
국도화학,개발하고 있다,전기자동차용 에폭시수지
국도화학,개발하고 있다,수소탱크용 에폭시수지
국도화학,개발하고 있다,우주항공분야용 에폭시수지
국도화학의 에폭시수지 사업부문,차지,2021년 기준 전체 매출의 97.9%
국도화학,개발,친환경 제품
국도화학,친환경 제품 개발,환경 관련 법규의 강화에 따라
국도화학,친환경 제품 개발,고객의 증가하는 수요에 따라
국도화학,시작,물 기반 폴리우레탄 사업 (2018년부터)
폴리우레탄 제품,구현,유기용제를 사용하지 않는 친환경 접착제 등
친환경 폴리우레탄 시장,증가,매년
국도화학,구비,"헬스기구, 탁구장 등 운동시설"
국도화학,운영,휴게실 및 샤워시설
국도화학,제공,동호회 운영비
국도화학,제공,"자녀 학자금, 휴가비"
국도화학,제공,장기근속자 포상
국도화학,개발,에폭시수지 및 폴리올수지
국도화학,제조,에폭시수지 및 폴리올수지
국도화학,판매,에폭시수지 및 폴리올수지
국도화학,차지하고,에폭시수지 사업부문
에폭시수지 사업부문,차지하고,매출의 전체
매출의 전체,차지하고,97.90%
수출 통한 매출,발생,76.10%
국도화학,설립되다,1972년 2월
중견기업,상장되다,1989년 8월 유가증권시장에
국도화학,영위하다,사업
국도화학,제조 및 판매하다,에폭시수지
국도화학,제조 및 판매하다,경화제
국도화학,가지다,연결대상 종속회사 8개
국도정밀㈜,흡수합병되다,국도화학
국도정밀㈜,제조하다,에폭시수지 및 임가공 업체
국도 코퍼레이션,보유하다,국도화학의 23.71% 지분
이시창,보유하다,국도화학의 75.88% 지분
국도 코퍼레이션,이다,국도화학의 최대주주
이시창,이다,국도화학의 대표이사
이시창 회장,관리하고 있다,경영전반
이시창 회장,이다,국도화학의 대표이사
허연진 사장,이다,국도화학의 대표이사
이시창 회장,역임했다,국도화학의 경영기획실장
허연진 사장,역임했다,GLOBAL사업부본부장
허연진 사장,취임했다,대표이사로
허연진 사장,총괄하고 있다,사업전반
국도화학의 사업부문,구성되어있다,제품의 특성에 따라
국도화학의 사업부문,구성되어 있다,에폭시수지 및 폴리올수지
국도화학의 사업부문,포함하고 있다,에폭시수지
국도화학의 사업부문,포함하고 있다,경화제
국호화학의 사업부문,포함하고 있다,에폭시수지의 반응성 희석제
국도화학의 사업부문,포함하고 있다, 폴리올수지
폴리올수지,원료이다,폴리우레탄
국도화학,판매되고 있다,일부 기본수지류
일부 기본수지류,확보해두고 판매되고 있다,일정 재고
국도화학 제품,판매되고 있다,사전주문에 의해
국도화학의 에폭시사업부,확보하여 판매되고 있다, ㈜케이씨씨
국도화학의 에폭시사업부,확보하여 판매되고 있다,조광요턴
국도화학의 에폭시사업부,확보하여 판매되고 있다,츄고쿠삼화페인트
국도화학의 GLOBAL사업부,하고 있다,해외 에이전트를 상대로 영업 활동을
국도화학의 GLOBAL사업부,하고 있다,실거래처를 상대로 영업 활동을
국도화학의 매출액,증가하고 있다,매년
국도화학의 매출액,확인된다,2019년 1조 215억 원
국도화학의 매출액,확인된다,2020년 1조 327억 원
국도화학의 매출액,확인된다,2021년 1조 771억 원
에폭시수지 사업부문,확인된다,매년 증가
에폭시수지 사업부문의 비중,차지하고 있다,2019년 93.4%
에폭시수지 사업부문의 비중,차지하고 있다,2020년 96.2%
에폭시수지 사업부문의 비중,차지하고 있다,2021년 97.9%
국도화학 2019년의 수출 비중,나타난다,46.80%
국도화학 2020년의 수출 비중,나타난다,50.90%
국도화학 2021년의 수출 비중,나타난다,76.10%
국도화학 2022년 상반기의 수출 비중,나타난다,76.30%
국도화학의 환경 부문,개발하고 있다,친환경 제품을
국도화학,개발하고 있다,법규 강화 등으로 인한 친환경 제품 수요 증가에 따라
국도화학,시작했다,2018년 중반부터 수분산형 폴리우레탄 사업을
수분산형 폴리우레탄,사용하지 않고,유기용제를
